No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
40,AYAM PENYET WITH BROWN RICE,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu AYAM PENYET WITH BROWN RICE.
41,Ayam Penyet is an Indonesian dish. It is liked by almost all groups and,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ayam Penyet is an Indonesian dish. It is liked by almost all groups and.
42,suits the Indonesian palate. The history of Ayam Penyet was originally,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu suits the Indonesian palate. The history of Ayam Penyet was originally.
43,"from Ayam Bakar Wong Solo, but it became more famous when Surabaya",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu from Ayam Bakar Wong Solo, but it became more famous when Surabaya."
44,people sold it under the name ‘Ayam Penyet Surabaya.’,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu people sold it under the name ‘Ayam Penyet Surabaya.’.
45,Healthy Sei Rice Bowl Series HQ,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Healthy Sei Rice Bowl Series HQ.
46,Healthy Chicken © 12:00am - 11:59pm,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Healthy Chicken © 12:00am - 11:59pm.
47,a Roasted Chickhen with Brown Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu a Roasted Chickhen with Brown Rice.
48,"Olahan ayam yang melalui proses pemanggangan, di padu",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Olahan ayam yang melalui proses pemanggangan, di padu."
49,"padankan dengan saus BBQ , Brown Rice, dan sayuran...",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu padankan dengan saus BBQ , Brown Rice, dan sayuran...."
50,CHICKEN STEAK,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu CHICKEN STEAK.
51,Grilled Chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken.
52,"GRILLED CHICKEN,ROTATOES? ‘titi,",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu GRILLED CHICKEN,ROTATOES? ‘titi,."
53,AYAM BAKAR,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu AYAM BAKAR.
54,Grilled Chicken is an American BBQ classic. When prepared and,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken is an American BBQ classic. When prepared and.
55,"doesn't love a perfectly prepared, juicy, tender chicken breast while",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu doesn't love a perfectly prepared, juicy, tender chicken breast while."
56,consideration when you include grilled chicken on a cookout menu: the,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu consideration when you include grilled chicken on a cookout menu: the.
57,"Grilled Chicken Dietgo consists of protein, vegetables, and carbs. The",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Chicken Dietgo consists of protein, vegetables, and carbs. The."
58,SEI SAPI & SEI AYAM:,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SEI SAPI & SEI AYAM:.
59,GRILLED CHICKEN,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu GRILLED CHICKEN.
60,Nasi Padang,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Nasi Padang.
61,Sei Ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Sei Ayam.
62,"kebebasan kita. Selamat Hari Pahlawan, Para Pahlawan Nasional Indonesia !",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu kebebasan kita. Selamat Hari Pahlawan, Para Pahlawan Nasional Indonesia !."
63,Grilled Chicken Dietgo kaya akan,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken Dietgo kaya akan.
64,protein. Dalam satu porsi ricebowl,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu protein. Dalam satu porsi ricebowl.
65,"grilled chicken, terkandung 11.4 protein.",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu grilled chicken, terkandung 11.4 protein.."
66,Grilled Chicken Dietgo mengandung,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken Dietgo mengandung.
67,porsi ricebowl grilled chicken hanya 248.5 kcal.,Ayam,5,Nasi Putih,Sayur / Lauk Tambahan,Menu porsi ricebowl grilled chicken hanya 248.5 kcal..
68,Grilled Chicken Dietgo tidak mengandung,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Grilled Chicken Dietgo tidak mengandung.
69,satu porsi porsi grilled chicken adalah 29.1 carbs.,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu satu porsi porsi grilled chicken adalah 29.1 carbs..
70,Healthy Chicken Healthy sei (da,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Healthy Chicken Healthy sei (da.
71,BROWN RICE // 485.3 kcal,Lainnya,3,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE // 485.3 kcal.
72,white rice and beef. This food is served with various types of special spices,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu white rice and beef. This food is served with various types of special spices.
73,gyuunabe. Initially this food consisted of pieces of beef cooked by boiling with onions,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu gyuunabe. Initially this food consisted of pieces of beef cooked by boiling with onions.
74,BROWN RICE SERIES,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE SERIES.
75,witAé Grilled Chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu witAé Grilled Chicken.
76,with Sei Sapi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with Sei Sapi.
77,with brown rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with brown rice.
78,"Brown rice. atau lebih dikenal dengan nasi merah,",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Brown rice. atau lebih dikenal dengan nasi merah,."
79,"beras putih. Karena tidak dipoles, brown rice memiliki kadar",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu beras putih. Karena tidak dipoles, brown rice memiliki kadar."
80,karbohidrat yang cukup rendah. Brown rice kaya akan magnesium,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu karbohidrat yang cukup rendah. Brown rice kaya akan magnesium.
81,inflamasi pada sendi. Makan brown rice dua kali seminggu mampu,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu inflamasi pada sendi. Makan brown rice dua kali seminggu mampu.
82,pelaku diet disarankan untuk mengonsumsi brown rice demi,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu pelaku diet disarankan untuk mengonsumsi brown rice demi.
83,RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu RICE.
84,Apa itu Brown Rice?,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Apa itu Brown Rice?.
85,Sei Ayam with Brown Rice + Pita-C,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Sei Ayam with Brown Rice + Pita-C.
86,WITH BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu WITH BROWN RICE.
87,NASI PUTIH,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu NASI PUTIH.
88,NASI MERAH,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu NASI MERAH.
89,a ~~ SEI AYAM,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu a ~~ SEI AYAM.
90,SEI AYAM,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SEI AYAM.
91,with BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu with BROWN RICE.
92,Beras merah yang sudah dimasak menjadi nasi hanya memuat 45 gram karbohidrat,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Beras merah yang sudah dimasak menjadi nasi hanya memuat 45 gram karbohidrat.
93,"Indeks glikemik (GI) beras merah cenderung rendah, yaitu sekitar 55. Konsumsi nasi",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Indeks glikemik (GI) beras merah cenderung rendah, yaitu sekitar 55. Konsumsi nasi."
94,Dada Ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Dada Ayam.
95,Dada ayam merupakan daging yang memiliki protein,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Dada ayam merupakan daging yang memiliki protein.
96,"ayam memiliki kandungan 0 gram serat, dengan 29 gram",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu ayam memiliki kandungan 0 gram serat, dengan 29 gram."
97,"protein dan 195 kalori. Sementara pada 85 gram dada ayam,",Ayam,195,Nasi Putih,Sayur / Lauk Tambahan,"Menu protein dan 195 kalori. Sementara pada 85 gram dada ayam,."
98,Kentang merupakan salah satu opsi pengganti nasi,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Kentang merupakan salah satu opsi pengganti nasi.
99,DY sei SaPI BOWL,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu DY sei SaPI BOWL.
100,SEI SAPI BOWL ©,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SEI SAPI BOWL ©.
101,"DI NEGERI ASALNYA, BIASA DISAJIKAN DENGAN NASI PANAS, SAYURAN,",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu DI NEGERI ASALNYA, BIASA DISAJIKAN DENGAN NASI PANAS, SAYURAN,."
102,CHICKEN NLS,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu CHICKEN NLS.
103,"Grilled Dori with Lettuce, Tomato, Kyuri,",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Dori with Lettuce, Tomato, Kyuri,."
104,Jawaban: Ricebowl Sei Lidah Sambal Ijo,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Jawaban: Ricebowl Sei Lidah Sambal Ijo.
105,1. IKAN BERLEMAK,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu 1. IKAN BERLEMAK.
106,membuat ikan berlemak menjadi Sangat baik untuk kulit kamu!,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu membuat ikan berlemak menjadi Sangat baik untuk kulit kamu!.
107,"nya banyak ( nasi padang 2 bungkus) hihi, lama",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu nya banyak ( nasi padang 2 bungkus) hihi, lama."
108,Ada berapa Ricebowl,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ada berapa Ricebowl.
109,Jawaban: 5 Ricebowl,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Jawaban: 5 Ricebowl.
110,2. Sebutkan ada berapa Ricebowl di gambar pada slide ke-2,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu 2. Sebutkan ada berapa Ricebowl di gambar pada slide ke-2.
111,BEEF BBQ,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BEEF BBQ.
112,SAIKORO BEEF BBQ,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SAIKORO BEEF BBQ.
113,RICEBOWL,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu RICEBOWL.
114,Lidah sapi termasuk salah satu senyawa penting yang,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Lidah sapi termasuk salah satu senyawa penting yang.
115,Lidah sapi kaya akan zat besi dan vitamin B-12.,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Lidah sapi kaya akan zat besi dan vitamin B-12..
116,Mengonsumsi 19 gram lidah sapi dapat memenuhi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Mengonsumsi 19 gram lidah sapi dapat memenuhi.
117,Kandungan gizi yang terdapat pada lidah sapi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Kandungan gizi yang terdapat pada lidah sapi.
118,Dengan kandungan gizi lidah sapi yang beberapa,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Dengan kandungan gizi lidah sapi yang beberapa.
119,diantaranya lebih tinggi dari daging sapi tentunya,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu diantaranya lebih tinggi dari daging sapi tentunya.
120,Manfaat Lidah Sapi,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Manfaat Lidah Sapi.
121,RICEBOMS ete,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu RICEBOMS ete.
122,Ricebowl S.... Subscription | Order Grilled Dori LemoniloS...,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Ricebowl S.... Subscription | Order Grilled Dori LemoniloS....
123,"Sekarang, kamu bisa nikmatin Ricebowl Series di",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sekarang, kamu bisa nikmatin Ricebowl Series di."
124,ve RICEBOWL,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ve RICEBOWL.
125,‘Ricebowl Series’ selengkapnya!,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu ‘Ricebowl Series’ selengkapnya!.
126,GRILLED CHICKEN © JAPANESE GYUDON,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu GRILLED CHICKEN © JAPANESE GYUDON.
127,GRILLED CHICKEN ¢,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu GRILLED CHICKEN ¢.
128,AMEBROWN RICE CX Wh LEMONILO,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu AMEBROWN RICE CX Wh LEMONILO.
129,JAPANESE GYUDON 9 GRILLED CHICKEN,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu JAPANESE GYUDON 9 GRILLED CHICKEN.
130,Wh BROWN RICE O LEMONILO,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Wh BROWN RICE O LEMONILO.
131,Seporsi ikan Dori sebanyak 100gr mengandung,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Seporsi ikan Dori sebanyak 100gr mengandung.
132,IKAN DORI?,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu IKAN DORI?.
133,U/té BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu U/té BROWN RICE.
134,"Grilled Chicken with Brown Rice, Boiled Egg",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Chicken with Brown Rice, Boiled Egg."
135,"Grilled Chicken with Potatoes, Boiled Eag",Ayam,0,Kentang,Sayur / Lauk Tambahan,"Menu Grilled Chicken with Potatoes, Boiled Eag."
136,"Grilled Chicken with Lemonilo, Mixed",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Chicken with Lemonilo, Mixed."
137,"Grilled Chicken with Lettuce, Tomato, Kyuri",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Grilled Chicken with Lettuce, Tomato, Kyuri."
138,SEI SAPI,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SEI SAPI.
139,UJth BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu UJth BROWN RICE.
140,"Sei Sapi with Brown Rice, Mixed Vegetables,",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sei Sapi with Brown Rice, Mixed Vegetables,."
141,"Sei Sapi with Potatoes, Mixed Vegetables,",Sapi,0,Kentang,Sayur / Lauk Tambahan,"Menu Sei Sapi with Potatoes, Mixed Vegetables,."
142,"Sei Sapi with Lemonilo, Mixed Vegetables,",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sei Sapi with Lemonilo, Mixed Vegetables,."
143,U/th BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu U/th BROWN RICE.
144,"Sei Ayam with Brown Rice, Mixed Vegetables,",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sei Ayam with Brown Rice, Mixed Vegetables,."
145,"Sei Ayam with Potatoes, Mixed Vegetables,",Ayam,0,Kentang,Sayur / Lauk Tambahan,"Menu Sei Ayam with Potatoes, Mixed Vegetables,."
146,"Sei Ayam with Lemonilo, Mixed Vegetables,",Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Sei Ayam with Lemonilo, Mixed Vegetables,."
147,th BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu th BROWN RICE.
148,"Japanese Beef Gyudon with Brown Rice,",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Japanese Beef Gyudon with Brown Rice,."
149,"Japanese Beef Gyudon with Lemonilo,",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu Japanese Beef Gyudon with Lemonilo,."
150,BROWN RICE,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu BROWN RICE.
151,SAPI,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SAPI.
152,DORI?),Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu DORI?).
153,DORI,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu DORI.
154,DORI SELENGKAPNYA,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu DORI SELENGKAPNYA.
155,& Uang Tunai,Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,Menu & Uang Tunai.
156,Paket Combo Sei Ayam,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Paket Combo Sei Ayam.
157,Periode 25-27 Januari 2022 \\ Sei Sepi Brown Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Periode 25-27 Januari 2022 \\ Sei Sepi Brown Rice.
158,"sayuran, dan daging ikan, ya!",Ikan,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu sayuran, dan daging ikan, ya!."
159,KENAPA KONSUMSI DAGING SAPI?,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu KENAPA KONSUMSI DAGING SAPI?.
160,konsumsi daging sapi bermanfaat,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu konsumsi daging sapi bermanfaat.
161,DIETGO BEEF SERIES,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu DIETGO BEEF SERIES.
162,+ Ayam Geprek Dapur GG,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Ayam Geprek Dapur GG.
163,+ Ayamayaman Bandung,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Ayamayaman Bandung.
164,+ Gama Mbak Tik Ayam Goreng,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Gama Mbak Tik Ayam Goreng.
165,+ Ayam Geprek Warmur,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Ayam Geprek Warmur.
166,"+ Nasi Padang Roda Baru,",Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu + Nasi Padang Roda Baru,."
167,+ Nasi Kulit Sultan Banjarsari,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Nasi Kulit Sultan Banjarsari.
168,+ Mie Ayam Palembang Afui,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Mie Ayam Palembang Afui.
169,"+ Se'i Sapi Maumere, Kaliurang",Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,"Menu + Se'i Sapi Maumere, Kaliurang."
170,+ Ayam dan Bebek Goreng,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Ayam dan Bebek Goreng.
171,+ Nasi Uduk Jakarta - Apri,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu + Nasi Uduk Jakarta - Apri.
172,1 Sei Ayam with,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu 1 Sei Ayam with.
173,Brown Rice ce Apple Tea Saldo Gopay,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Brown Rice ce Apple Tea Saldo Gopay.
174,RECHARGE WITH SE'l SAPI,Sapi,0,Nasi Putih,Sayur / Lauk Tambahan,Menu RECHARGE WITH SE'l SAPI.
175,SE’| AYAM @,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu SE’| AYAM @.
176,Gy Gam Ya! Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Gy Gam Ya! Rice.
177,9 Icha Dimsum Nasi Go,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu 9 Icha Dimsum Nasi Go.
178,Brown Rice,Lainnya,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Brown Rice.
179,Dietgo Kitchen grilled chicken,Ayam,0,Nasi Putih,Sayur / Lauk Tambahan,Menu Dietgo Kitchen grilled chicken.
